date_time,vehicle_id,coord,gps_coord,spd,edge,lane,displacement,turn_angle,next_tls
2023-03-02 17:00:52.891,99,"[1641.4848565942411, 1707.5195404649257]","[114.31998603805016, 30.511992593156823]",15.86,161503499#6,161503499#6_0,1362.53,3.12,()
2023-03-02 17:00:52.881,99,"[1641.244751785346, 1703.119808706853]","[114.31998462696846, 30.511952882545224]",30.59,161503499#6,161503499#6_0,1358.12,3.12,()
2023-03-02 17:00:52.871,99,"[1640.781820026501, 1694.6369483652268]","[114.31998190634567, 30.511876318883417]",44.04,161503499#6,161503499#6_0,1349.63,3.12,()
2023-03-02 17:00:52.861,99,"[1640.1152107355233, 1682.4218574587326]","[114.31997798872115, 30.511766069267065]",59.0,161503499#6,161503499#6_0,1337.39,3.12,()
2023-03-02 17:00:52.851,99,"[1639.222169221327, 1666.0575741719215]","[114.31997274036584, 30.511618370327138]",73.19,161503499#6,161503499#6_0,1321.0,3.12,()
2023-03-02 17:00:52.841,99,"[1638.114411680099, 1645.7587885840294]","[114.31996623013384, 30.51143515978794]",87.41,161503499#6,161503499#6_0,1300.67,3.12,()
2023-03-02 17:00:52.831,99,"[1636.7913258279914, 1621.5142810751634]","[114.31995845442522, 30.511216336382677]",90.42,161503499#6,161503499#6_0,1276.39,3.12,()
2023-03-02 17:00:52.821,99,"[1635.4227517115612, 1596.4362369033668]","[114.31995041138018, 30.51098998972881]",88.97,161503499#6,161503499#6_0,1251.27,3.12,()
2023-03-02 17:00:52.812,99,"[1634.2032542716652, 1571.7556510878308]","[114.31994382197962, 30.51076725769486]",86.86,161503499#6,161503499#6_0,1226.56,0.54,()
2023-03-02 17:00:52.802,99,"[1633.9748039903054, 1547.631301376237]","[114.31994741237789, 30.51054975187188]",89.26,161503499#6,161503499#6_0,1202.43,0.54,()
2023-03-02 17:00:52.792,99,"[1633.7362735148552, 1522.836917327101]","[114.31995106355443, 30.510326204192292]",90.35,161503499#5,161503499#5_0,1177.64,0.56,()
2023-03-02 17:00:52.781,99,"[1633.4956709687624, 1497.7348517245778]","[114.31995476922508, 30.510099882619173]",87.63,161503499#4,161503499#4_0,1152.54,0.52,()
2023-03-02 17:00:52.771,99,"[1633.2646685205248, 1473.389561211997]","[114.319958387549, 30.509880384665838]",86.15,161503499#3,161503499#3_0,1128.2,0.55,()
2023-03-02 17:00:52.760,99,"[1633.0370409894933, 1449.4616255985325]","[114.31996193769727, 30.509664649465407]",89.92,161503499#3,161503499#3_0,1104.27,0.55,()
2023-03-02 17:00:52.751,99,"[1632.7994544492985, 1424.4868107742734]","[114.31996564311221, 30.509439475553307]",88.35,161503499#3,161503499#3_0,1079.29,0.55,()
2023-03-02 17:00:52.741,99,"[1632.566008482251, 1399.947248079788]","[114.31996928389376, 30.509218225883686]",89.58,161503499#3,161503499#3_0,1054.75,0.55,()
2023-03-02 17:00:52.732,99,"[1632.329320665637, 1375.066906010577]","[114.31997297517712, 30.50899390372577]",87.73,161503499#3,161503499#3_0,1029.87,0.55,()
2023-03-02 17:00:52.722,99,"[1632.065822290971, 1350.7068968968265]","[114.31997625856606, 30.50877426609948]",87.73,161503499#2,161503499#2_0,1005.5,0.74,()
