dateandtime,vehid,coord,gps_coord,spd,edge,lane,displacement,turn_angle,next_tls
2023-03-02 06:44:34.280,0,"[988.979226384683, 505.3367020718586]","[114.31349108327751, 30.501016207529258]",50.5,231808124,231808124_0,171.36,309.12,()
2023-03-02 06:44:34.281,1,"[2322.3411949339447, 884.7689614369046]","[114.32727730892165, 30.504721938950315]",34.78,:2739341906_7,:2739341906_7_0,118.13,13.0,()
2023-03-02 06:44:34.282,2,"[1305.42252926944, 1130.109345504615]","[114.31663040291757, 30.50671579044149]",11.68,:2733773957_11,:2733773957_11_0,63.26,249.29,()
2023-03-02 06:44:34.283,3,"[2546.4526441811454, 2328.1651672995263]","[114.32925446632397, 30.517780661125567]",39.27,417713712,417713712_0,38.01,216.18,()
2023-03-02 06:44:34.284,4,"[2719.1134441950103, 1340.204379139273]","[114.3312955619167, 30.508911959431735]",22.54,-725894815#0,-725894815#0_0,12.21,22.95,"(('838310065', 0, 2782.429192180335, 'G'),)"
2023-03-02 06:44:34.286,5,"[1887.3908680851064, 1786.505940425532]","[114.32252659206682, 30.51275723263349]",0.0,-265762563#2,-265762563#2_0,0.0,270.97,()
2023-03-02 06:44:34.288,0,"[976.854172083818, 513.1542507840256]","[114.31336292857993, 30.50108407160388]",51.94,231808124,231808124_0,185.79,302.81,()
2023-03-02 06:44:34.288,1,"[2323.6292408381387, 890.3434603696219]","[114.32728934246687, 30.504772462955646]",20.6,-268599172#0,-268599172#0_0,123.85,13.01,()
2023-03-02 06:44:34.289,2,"[1307.8692265714074, 1128.5247600066339]","[114.31665626598912, 30.50670203173991]",11.41,-267612556#7,-267612556#7_1,66.43,154.83,()
2023-03-02 06:44:34.290,3,"[2542.6702107787783, 2322.9933475484722]","[114.32921636109941, 30.517733234395198]",23.07,417713712,417713712_0,44.42,216.18,()
2023-03-02 06:44:34.291,4,"[2722.1286532455083, 1347.1402654236015]","[114.33132524328181, 30.508975123263138]",27.23,-725894815#0,-725894815#0_0,19.77,23.5,"(('838310065', 0, 2774.866316387648, 'G'),)"
2023-03-02 06:44:34.292,5,"[1885.7257933175142, 1786.5340034834128]","[114.3225092502167, 30.51275712921804]",6.0,-265762563#2,-265762563#2_0,1.67,270.97,()
2023-03-02 06:44:34.293,0,"[965.3768055733142, 520.5542070693231]","[114.31324161940323, 30.50114831043554]",49.16,231808124,231808124_0,199.45,302.81,()
2023-03-02 06:44:34.294,1,"[2325.0266000978886, 897.9598736886205]","[114.3273020102877, 30.504841416252614]",27.91,:7281789504_5,:7281789504_5_0,131.61,8.95,()
2023-03-02 06:44:34.295,2,"[1313.1346664775265, 1128.381738194313]","[114.31671111567753, 30.506701871759613]",18.96,-267612556#7,-267612556#7_1,71.7,91.56,()
2023-03-02 06:44:34.296,3,"[2539.749948887645, 2322.7231965457645]","[114.32918602348226, 30.51773017568166]",11.91,282304746,282304746_0,47.73,247.35,()
2023-03-02 06:44:34.296,4,"[2725.7802533654476, 1355.5400422760745]","[114.33136118925401, 30.509051618467957]",32.97,-725894815#0,-725894815#0_0,28.93,23.5,"(('838310065', 0, 2765.707217403417, 'G'),)"
2023-03-02 06:44:34.297,5,"[1881.6967493621391, 1786.6019087186157]","[114.32246728749146, 30.51275687897022]",14.51,-265762563#2,-265762563#2_0,5.7,270.97,()
2023-03-02 06:44:34.299,0,"[953.0942141595366, 528.4733267949972]","[114.31311179929077, 30.501217055975353]",52.61,231808124,231808124_0,214.06,302.81,()
2023-03-02 06:44:34.300,1,"[2323.7659613687733, 905.2951137768052]","[114.32728707746729, 30.50490726729076]",27.5,:7281789504_5,:7281789504_5_0,139.24,344.18,()
2023-03-02 06:44:34.301,2,"[1320.013765075618, 1128.194885592028]","[114.31678277472872, 30.506701662716534]",24.77,-267612556#7,-267612556#7_1,78.58,91.56,()
2023-03-02 06:44:34.302,3,"[2534.6667795066382, 2324.8403103910496]","[114.32913257801776, 30.517748174054244]",19.82,282304746,282304746_0,53.23,292.61,()
2023-03-02 06:44:34.302,4,"[2730.356491632915, 1364.9740046536494]","[114.33140650653509, 30.509137633126375]",37.77,-725894815#0,-725894815#0_0,39.42,27.68,"(('838310065', 0, 2755.2151553948265, 'G'),)"
2023-03-02 06:44:34.303,5,"[1875.089577235999, 1786.7132655522023]","[114.3223984734154, 30.512756468563087]",23.79,-265762563#2,-265762563#2_0,12.3,270.97,()
2023-03-02 06:44:34.304,6,"[1638.0718775523856, 1703.6175475882842]","[114.31995147170576, 30.51195668944146]",0.0,-161503499#6,-161503499#6_0,0.0,183.13,()
2023-03-02 06:44:34.306,0,"[941.7385086607364, 535.7948429461918]","[114.31299177568633, 30.501280613618615]",48.64,231808124,231808124_0,227.57,302.81,()
2023-03-02 06:44:34.307,1,"[2317.1268404508455, 909.6115941785337]","[114.32721689876277, 30.504944758176745]",29.45,236668173#3,236668173#3_1,147.43,294.56,()
2023-03-02 06:44:34.308,2,"[1329.2412504257888, 1127.9442452464011]","[114.31687889675199, 30.506701382248334]",33.23,-267612556#7,-267612556#7_1,87.81,91.56,()
2023-03-02 06:44:34.309,3,"[2528.2320180416423, 2327.520355372347]","[114.32906492161624, 30.517770958080654]",25.09,282304746,282304746_0,60.2,292.61,()
